n,sessions,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
20,2,50.459937325876176,94.2588508687795,0.02248329039999941,0.017494586999999756,8.002725331799999,0.020006813329500002,0.020755107599999552,0.008062750400000507,4.366216435999993,0.010915541089999984,0.9164840810496345,0.08351591895036548,0.9385837986198731,0.061416201380127086,4.9,5120.0,2360.0,2.3,2960.4,1200.0
20,8,78.08045580553743,111.02971650001629,0.0211882335999999,0.005586960799999044,20.955140249200007,0.013096962655750005,0.02356680580000025,0.004001729199999904,13.580693617800005,0.009194730348625004,0.9466777289962598,0.05332227100374014,0.9565675595288214,0.04343244047117863,2.775,13680.0,6040.0,1.767857142857143,9481.0,3840.0
40,4,84.66210874285807,86.05725617825753,0.018429252399999995,0.0055857982000000915,9.4965726242,0.011870715780249997,0.01715556680000052,0.007450676400000256,8.954602365400001,0.01172248478916667,0.9518978536473035,0.048102146352696516,0.9527300872903816,0.047269912709618486,2.4,6240.0,2720.0,2.35,5880.0,2560.0
40,16,81.7260779907287,87.3128597377056,0.02244907459999972,0.004904871999998939,39.43608015499999,0.012323775048437496,0.03466713379999996,0.004279335199999945,31.13959482019999,0.011578898446679602,0.9500787045229785,0.04992129547702144,0.9465146730423244,0.053485326957675584,2.5375,25840.0,11320.0,2.453104395604396,21364.2,9081.2
60,6,87.08143878501127,95.93149272687457,0.016503136599999736,0.006208500999999878,13.864377601599998,0.011553648001333332,0.01452593840000047,0.006179453400000234,10.999792568000014,0.010478471960900014,0.9534077397445347,0.0465922602554653,0.9581633855177312,0.04183661448226881,2.3,9120.0,3960.0,1.9700000000000002,7280.0,3120.0
60,24,93.13597171121245,93.35495009970215,0.017161418600000377,0.004287387399999965,51.555145557399996,0.010740655324458333,0.02014031119999952,0.004581830599999481,50.73622643200003,0.010882821489898815,0.9569909326570413,0.0430090673429588,0.9544421700818011,0.04555782991819883,2.05,34080.0,14640.0,2.1333333333333337,33720.6,14400.0
80,8,94.15387437138507,110.42945738154881,0.014534355599999858,0.005564440999999842,17.0547553364,0.010659222085249997,0.013180514400000143,0.004924716200000035,14.290922848200003,0.00916165999601786,0.9573428964642359,0.0426571035357642,0.96401408556194,0.035985914438059985,2.025,11280.0,4840.0,1.5642857142857143,9560.0,4000.0
80,32,97.68453035667501,107.05397791625126,0.016503044200000094,0.0036690593999997743,65.73811062400002,0.010271579785000002,0.025599755400000413,0.0039686587999997695,58.09471778800004,0.009360944027845234,0.9590651137070211,0.04093488629297883,0.9608980862608897,0.039101913739110206,1.90625,43600.0,18600.0,1.6758736559139784,39081.2,16240.0
100,10,99.15360963157887,103.88237493303173,0.01391876520000035,0.005568453399999384,20.23923248579999,0.010119616242899995,0.016929256200000495,0.0055544426000002645,18.547423469800002,0.009647622304350002,0.9597686265412702,0.04023137345872996,0.9604741212921345,0.0395258787078655,1.8599999999999999,13440.0,5720.0,1.7449999999999999,12400.2,5200.0
100,40,108.63561662336572,108.50493432817473,0.014475989000000045,0.0037188834000003723,73.8208141726,0.009227601771574999,0.016548207799999593,0.00366125660000014,71.73622457759998,0.00923918009355406,0.9637930614157109,0.03620693858428921,0.9634077381613707,0.03659226183862925,1.5850000000000002,49360.0,20680.0,1.5961903141642648,48081.6,20120.6
120,12,120.59533001313807,114.67682062916137,0.011866209799999972,0.003650089200000162,19.923480995799984,0.008301450414916658,0.011962442999999778,0.004325811600000317,20.672753501399974,0.008755447048689382,0.9677870248137426,0.03221297518625741,0.9659224125549948,0.03407758744500537,1.3,13440.0,5520.0,1.4393939393939392,13880.0,5760.0
120,48,106.7896424034628,109.27694772156774,0.014526786800000524,0.003683473399999926,89.94876219339999,0.009369662728479167,0.016094189400000562,0.004275691399999548,87.21919833439999,0.009163080091182624,0.9631500705284968,0.03684992947150319,0.9633917139878404,0.036608286012159576,1.6291666666666664,60080.0,25240.0,1.5760638297872342,58480.6,24360.0
