nodes_number,send_count,success_count,throughput,generation_latency,success_rate,fidelity_avg,fidelity_loss_avg
5,100,98,1.9208933230154075,0.520591116653061,98.0,0.9899706144320686,0.010029385567931426
6,100,97,1.5977713578260175,0.6258717776494844,97.0,0.9899700899553604,0.0100299100446396
7,100,97,1.3720921146449683,0.7288140419484533,97.0,0.9899705724926073,0.010029427507392663
8,100,96,1.1989701636715142,0.8340491117291666,96.0,0.9899701065876605,0.010029893412339508
9,100,96,1.0617517271184682,0.9418397676770832,96.0,0.9899707289478039,0.010029271052196087
10,100,95,0.9551585459060852,1.0469466082736842,95.0,0.9899704721076816,0.010029527892318368
11,100,95,0.8645532440755711,1.1566667603789471,95.0,0.9899710315609808,0.010028968439019237
12,100,94,0.7930251681212204,1.2609940266702127,94.0,0.9899703762733615,0.010029623726638515
13,100,94,0.7347147765399563,1.361072394255319,94.0,0.9899703796040956,0.010029620395904382
14,100,93,0.6829372276135638,1.464263419193549,93.0,0.989970578934881,0.010029421065118949
15,100,93,0.6344512549225017,1.5761652171720428,93.0,0.9899704851013568,0.010029514898643233
16,100,92,0.5931569439135194,1.6858944504673914,92.0,0.9899706607415486,0.010029339258451397
17,100,92,0.5583786342138075,1.7908994698695657,92.0,0.9899700147267596,0.010029985273240394
18,100,91,0.5273166755618034,1.8963936593406603,91.0,0.9899705542265262,0.010029445773473755
19,100,90,0.49925946775282365,2.0029665226,90.0,0.9899706849345697,0.010029315065430255
20,100,90,0.4756982636337436,2.102172903388889,90.0,0.9899702647526354,0.010029735247364613
21,100,89,0.45135397869652677,2.215555965382022,89.0,0.9899705129484621,0.010029487051537944
22,100,89,0.432564090370187,2.311796152898876,89.0,0.9899702551737976,0.010029744826202447
23,100,88,0.41225715467899643,2.425670455079546,88.0,0.9899704718358286,0.010029528164171353
24,100,88,0.3955347763408196,2.528222699534091,88.0,0.989970287941994,0.010029712058005957
25,100,87,0.38006501080019534,2.6311288110804596,87.0,0.989970646046392,0.010029353953608044
26,100,87,0.36421738466866904,2.745613037965518,87.0,0.9899707736747725,0.010029226325227514
27,100,86,0.3524710056788105,2.8371127947790713,86.0,0.9899703356189846,0.01002966438101538
28,100,85,0.33758675626291845,2.9622015124941172,85.0,0.989970241157012,0.010029758842987957
29,100,85,0.3276486625217052,3.05204969342353,85.0,0.9899704580451032,0.010029541954896803
30,100,85,0.31571008475791257,3.1674629613647056,85.0,0.989970818067066,0.010029181932934006
31,100,84,0.30592243657616286,3.268802416690476,84.0,0.9899700376835473,0.0100299623164527
32,100,84,0.2961972348675314,3.376128748964287,84.0,0.9899705704479368,0.010029429552063207
33,100,84,0.2875695825216729,3.477419243130953,84.0,0.9899704725233139,0.010029527476686062
34,100,82,0.2782437720301112,3.5939708289024392,82.0,0.9899700790640755,0.010029920935924475
35,100,82,0.27078508183324845,3.6929656287926815,82.0,0.9899706671625232,0.010029332837476757
36,100,81,0.2628967205953345,3.803775101246914,81.0,0.989970306565627,0.010029693434372988
37,100,81,0.2554079946596348,3.9153042226913577,81.0,0.989970639555511,0.010029360444488988
38,100,80,0.2493735247833344,4.010048784725001,80.0,0.9899705354084511,0.010029464591548853
39,100,80,0.24292966452656387,4.1164178197374985,80.0,0.9899706444816765,0.010029355518323513
40,100,79,0.23693392512105352,4.220585969227848,79.0,0.9899705944615858,0.010029405538414249
41,100,79,0.23101796388161214,4.328667707037976,79.0,0.9899705769672397,0.010029423032760332
42,100,79,0.22549187065572315,4.434749674531645,79.0,0.9899705127553294,0.010029487244670565
43,100,78,0.22056863503561908,4.533736176217949,78.0,0.9899704374511902,0.010029562548809823
44,100,78,0.21574095136519209,4.635188607782052,78.0,0.9899703632475744,0.01002963675242563
