nodes_number,send_count,success_count,throughput,generation_latency,success_rate,fidelity_avg,fidelity_loss_avg
5,100,99,2.4246544332796267,0.4124299060000001,99.0,0.9899700274444505,0.010029972555549493
6,100,99,2.377627638039134,0.42058730475757566,99.0,0.9899702873066972,0.010029712693302772
7,100,99,2.383243269475652,0.41959627571717195,99.0,0.9899703677403198,0.010029632259680232
8,100,98,2.3579040502865376,0.42410546768367346,98.0,0.9899704759969399,0.01002952400306012
9,100,99,2.317121891510486,0.4315698728080808,99.0,0.9899704042512981,0.01002959574870188
10,100,98,2.2830453018146706,0.4380114574183673,98.0,0.9899703338233481,0.010029666176651908
11,100,98,2.240721860199016,0.44628475214285723,98.0,0.9899707682998109,0.0100292317001891
12,100,99,2.2288047530173953,0.44867097427272723,99.0,0.9899704650480677,0.010029534951932262
13,100,98,2.166645965742568,0.46154287124489807,98.0,0.9899702901601055,0.010029709839894485
14,100,98,2.0994686283591837,0.47631099912244884,98.0,0.9899703126921131,0.010029687307886892
15,100,98,2.0459998102117205,0.4887585986122451,98.0,0.989970767923055,0.01002923207694495
16,100,98,1.9973437530054612,0.500664944877551,98.0,0.9899706146987579,0.010029385301242089
17,100,98,1.937909123845053,0.516020069102041,98.0,0.9899701732414442,0.010029826758555793
18,100,98,1.8853783222423495,0.5303975272244901,98.0,0.9899701928885372,0.01002980711146284
19,100,98,1.8289755024847136,0.5467541793979593,98.0,0.9899701597095064,0.010029840290493586
20,100,99,1.7776865074659152,0.562528879979798,99.0,0.9899704832218736,0.010029516778126357
21,100,98,1.7024443852552469,0.5873907004897962,98.0,0.989970387391384,0.010029612608616012
22,100,98,1.6524699852183085,0.6051547132142855,98.0,0.9899700333829378,0.010029966617062236
23,100,98,1.5915397417355033,0.6283223558775507,98.0,0.9899704573402626,0.010029542659737434
24,100,98,1.541452557201829,0.6487387466632655,98.0,0.9899705847992397,0.010029415200760283
25,100,98,1.483811273497658,0.6739401552346935,98.0,0.9899704443468315,0.010029555653168543
26,100,98,1.4226725314199242,0.702902444459184,98.0,0.9899706495002462,0.010029350499753842
27,100,98,1.3747937535042283,0.7273818326938772,98.0,0.989970746165432,0.010029253834567986
28,100,99,1.3323685179702018,0.7505431016363634,99.0,0.9899700554374039,0.010029944562596094
29,100,98,1.2795688483469039,0.7815132427551019,98.0,0.9899703788120533,0.010029621187946702
30,100,99,1.234846457279361,0.8098172806060605,99.0,0.9899702889175784,0.010029711082421566
31,100,99,1.1982343463540066,0.8345612884848486,99.0,0.9899706421720565,0.010029357827943453
32,100,99,1.1541938599389878,0.8664055794343433,99.0,0.9899705116150681,0.010029488384931895
33,100,98,1.1090070494982545,0.9017075233673472,98.0,0.9899702181762938,0.010029781823706174
34,100,98,1.0664904154947428,0.937654933857143,98.0,0.9899704205274947,0.010029579472505268
35,100,98,1.0241827185579189,0.9763882770918367,98.0,0.9899707544530486,0.010029245546951393
36,100,98,0.9885331150017304,1.0115998997142848,98.0,0.9899704303825133,0.010029569617486689
37,100,99,0.9534581125434257,1.0488137725656559,99.0,0.9899701772223668,0.010029822777633202
38,100,98,0.9184996047802112,1.0887320961224487,98.0,0.9899703650781518,0.010029634921848163
39,100,98,0.8873101593941611,1.1270016345612242,98.0,0.9899704173150274,0.01002958268497256
40,100,98,0.8541257398756616,1.1707878047857143,98.0,0.989970215424869,0.01002978457513104
41,100,98,0.8294901280970614,1.2055598567448975,98.0,0.9899702140576261,0.010029785942373914
42,100,98,0.794555197262321,1.2585658031632656,98.0,0.9899704959535734,0.010029504046426552
43,100,98,0.767419839908798,1.3030676925408162,98.0,0.9899706346557015,0.010029365344298546
44,100,99,0.7499025016023673,1.333506686353536,99.0,0.9899704914798774,0.010029508520122632
45,100,98,0.7230382565723377,1.3830526820816336,98.0,0.9899699937192826,0.010030006280717374
46,100,98,0.695059847956394,1.4387250291326525,98.0,0.9899707103031032,0.01002928969689676
47,100,98,0.6700831566926707,1.4923520909489798,98.0,0.9899706800292185,0.010029319970781492
48,100,98,0.6516482274108871,1.53457027570408,98.0,0.989970255373172,0.010029744626828041
49,100,98,0.6279580121192848,1.5924631594795917,98.0,0.989970410775083,0.010029589224917035
50,100,99,0.6159214475143258,1.6235836632020204,99.0,0.989970493310024,0.010029506689976042
51,100,98,0.5909951750752332,1.6920611913163264,98.0,0.9899705373761098,0.01002946262389015
52,100,99,0.5751241652943437,1.7387549686565655,99.0,0.9899706022892824,0.010029397710717647
53,100,98,0.5501790810615372,1.8175900073673477,98.0,0.9899698854501067,0.010030114549893332
54,100,98,0.5369458404059642,1.8623852253775508,98.0,0.9899704936446662,0.01002950635533384
55,100,98,0.5172530545007687,1.93328969505102,98.0,0.9899705428724406,0.010029457127559427
56,100,99,0.507356142491196,1.9710020560505044,99.0,0.9899704654153583,0.01002953458464173
57,100,98,0.4910579673804734,2.0364194584489788,98.0,0.9899703148265645,0.010029685173435499
58,100,98,0.4742075752008895,2.108781158918366,98.0,0.989970470687808,0.010029529312192031
59,100,98,0.4612243395257438,2.168142299316326,98.0,0.9899701697295961,0.010029830270403939
60,100,99,0.4518552513935417,2.2130981036868675,99.0,0.9899701592137253,0.010029840786274669
61,100,98,0.4361383012253102,2.292850678765306,98.0,0.9899702627480799,0.010029737251920134
62,100,98,0.42373880359736066,2.359944360795917,98.0,0.9899702144552945,0.01002978554470546
63,100,98,0.412557136870081,2.4239066801428564,98.0,0.989970288255268,0.010029711744731995
64,100,98,0.40188026702216273,2.4883033133469388,98.0,0.9899704470643755,0.010029552935624464
65,100,99,0.39165127243652154,2.5532918450101016,99.0,0.9899701832445301,0.010029816755469878
