n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
5,72.25893043731467,112.28767570001314,0.014518012999999996,0.013191920000000579,6.919559935000074,0.013839119870000149,0.013801951,0.00823912599999943,4.452848425999982,0.008905696851999965,0.9431634611350256,0.05683653886497442,0.9254771386381375,0.07452286136186248,3.0,4500,2000,2.0,3501,1000
10,33.19730387286586,111.57712696621951,0.031427112000000035,0.028965964999999816,15.061464084999985,0.03012292816999997,0.029366952,0.008276518999998927,4.48120518599997,0.00896241037199994,0.8748253269144405,0.12517467308555952,0.8688165581989438,0.13118344180105623,8.0,9500,4500,2.0,3501,1000
15,21.55716927353892,111.37531032575131,0.047728371000005154,0.04514902199999682,23.194139900999986,0.04638827980199997,0.046025091,0.00836386999999661,4.489325313999991,0.008978650627999983,0.813259082585865,0.186740917414135,0.7984054325652618,0.20159456743473825,13.0,14500,7000,2.0,3501,1000
20,15.965723488143462,110.79752569996923,0.06412253699999582,0.06106985499999951,31.317090037999982,0.06263418007599997,0.061723469,0.008256512999999188,4.512736154000042,0.009025472308000085,0.7577721522885243,0.24222784771147565,0.7524499624565997,0.24755003754340033,18.0,19500,9500,2.0,3501,1000
