n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
84,3.6915226096323526,98.08512641062701,0.27422786200000004,0.2671038800000005,134.9036841060001,0.2708909319397592,0.26979015,0.008338876999999911,5.0976128419999425,0.010195225683999885,0.38455679986535873,0.6154432001346413,0.3552367156320084,0.6447632843679916,82.18072289156626,83350,41427,2.0,3504,1000
85,3.64688296031026,97.66449093737548,0.2777116030000002,0.27061808999999926,136.55497185400006,0.2742067707911648,0.276564778,0.008400359999995999,5.119567973999993,0.010239135947999986,0.3817662113158579,0.618233788684142,0.3498241608094437,0.6501758391905563,83.18072289156626,84346,41925,2.0,3504,1000
86,3.604405556440741,97.44966497064422,0.28054357599999946,0.2743131219999988,138.1642526630001,0.277438258359438,0.276927236,0.008081541999999331,5.130853965999988,0.010261707931999976,0.3790713240966449,0.6209286759033551,0.341985056752212,0.658014943247788,84.18072289156626,85343,42423,2.0,3505,1000
87,3.56218190256375,97.075715945413,0.284159013,0.2773733340000035,139.80195667200005,0.2807268206265061,0.28134946,0.008096306999999747,5.1506187220000195,0.01030123744400004,0.37640520565352487,0.6235947943464751,0.3390970465499561,0.6609029534500439,85.17871485943775,86336,42921,2.0,3505,1000
88,3.52148136147633,96.90318516050424,0.28735182700000195,0.280822919000002,141.41775829000008,0.28397140218875516,0.284361712,0.0081939929999999,5.159789115000008,0.010319578230000015,0.3738220112526076,0.6261779887473924,0.3375600464398781,0.662439953560122,86.17871485943775,87333,43419,2.0,3505,1000
89,3.4815011717765376,96.63686622086183,0.29018793299999857,0.283601627000003,143.04174418699992,0.2872324180461846,0.286198349,0.008292708999995568,5.174008839000004,0.010348017678000008,0.3712743729083805,0.6287256270916195,0.33603496112904857,0.6639650388709515,87.18072289156626,88330,43917,2.0,3505,1000
90,3.4420748580803027,96.15760748810612,0.2941458159999968,0.2871775579999998,144.68017708299993,0.2905224439417669,0.290399233,0.008354619999998647,5.1997965949999925,0.010399593189999985,0.36877142980460087,0.6312285701953991,0.3345275107751406,0.6654724892248594,88.17871485943775,89324,44415,2.0,3505,1000
91,3.405745163328075,95.97696931116128,0.29703590499999777,0.29010071200000453,146.2235064919999,0.29362149897991946,0.294112866,0.00833705699999987,5.209583128000004,0.010419166256000008,0.3663754356676969,0.6336245643323031,0.3330533051373171,0.6669466948626829,89.18072289156626,90323,44913,2.0,3505,1000
92,3.3682773126054553,95.72387677358938,0.3002322660000001,0.294258095,147.8500591790001,0.29688766903413677,0.295527085,0.008259698999999898,5.2233571899999784,0.010446714379999956,0.36397955394453585,0.6360204460554642,0.3316119987605856,0.6683880012394143,90.17871485943775,91317,45411,2.0,3505,1000
93,3.3310769364870816,95.37155877876246,0.3034038019999983,0.2969901340000014,149.50120021100008,0.3002032132751006,0.298217048,0.008422716000000108,5.242653118000007,0.010485306236000014,0.36162530860383674,0.6383746913961632,0.3301907546030572,0.6698092453969429,91.17871485943775,92314,45909,2.0,3505,1000
