n,n_sessions,vlink_send_rates,vlink_throughput,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,vlink_swaps,vlink_c_message_count,vlink_q_message_count
10,10,10,33.3578529953794,0.030827966000000373,0.02881304100000026,5.995589704999996,0.02997794852499998,0.8634159629920043,0.1365840370079957,2.0,1600,400
10,10,10,0.19880831764962587,10.029514449999999,0.029517393,2011.9882544600002,5.029970636150001,0.3113848829961439,0.6886151170038561,0.5,2000,600
10,10,10,0.14933233141026847,13.330402440999999,0.029645468,4017.884100071999,6.696473500119998,0.2960853606688317,0.7039146393311684,0.2222222222222222,2400,800
10,10,10,0.13280277370358787,15.030583725000001,0.029773803,6023.970566951998,7.529963208689997,0.29099958102026635,0.7090004189797336,0.125,2800,1000
10,10,10,0.12453311523314242,16.030038715,0.029693048,8029.992649969995,8.029992649969994,0.28846457401474135,0.7115354259852587,0.08,3200,1200
10,10,10,0.11957495995694485,16.629706237,0.029676256,10035.545907204,8.36295492267,0.2869651198595776,0.7130348801404224,0.05555555555555555,3600,1400
10,10,10,0.11626610874535893,17.129794592,0.029527248,12041.342185677,8.600958704055,0.2859662297094363,0.7140337702905637,0.04081632653061224,4000,1600
10,10,10,0.1138955201943803,17.529740142,0.029311421,14047.962529776,8.779976581109999,0.2852646043552884,0.7147353956447116,0.03125,4400,1800
10,10,10,0.11212704257122265,17.729414435000002,0.029944218,16053.219265608002,8.918455147560001,0.2847287480958835,0.7152712519041164,0.024691358024691357,4800,2000
10,10,10,0.11074254557446514,18.030411150000003,0.029429056,18059.906331620004,9.029953165810003,0.2843477638723899,0.7156522361276101,0.02,5200,2200
10,10,20,111.12989422409481,0.029837191,0.00825349700000011,1.7996957649999874,0.008998478824999937,0.8586732774212272,0.14132672257877277,2.0,1401,400
10,10,20,18.184258353069843,0.08096472899999974,0.02916439000000004,43.99409557800003,0.05499261947250003,0.8484501199351456,0.15154988006485437,1.0,3200,800
10,10,20,0.29513852503311,6.729987400000002,0.029976834,4065.8873654849986,3.388239471237499,0.3396802107986546,0.6603197892013454,0.4444444444444444,3600,1000
10,10,20,0.19782578645187668,10.080390245999999,0.02930048,8087.924373747998,5.054952733592499,0.30991109078964724,0.6900889092103528,0.25,4000,1200
10,10,20,0.16515355731759443,12.07918263,0.029808641,12109.941998730006,6.054970999365003,0.2999295531333243,0.7000704468666756,0.16,4400,1400
10,10,20,0.14877685364358098,13.379493449,0.029910904,16131.54157534201,6.721475656392504,0.29495586150672914,0.7050441384932709,0.1111111111111111,4800,1600
10,10,20,0.13893272175521132,14.329677372,0.029872725,20153.63957911501,7.197728421112504,0.29197613087904334,0.7080238691209566,0.08163265306122448,5200,1800
10,10,20,0.132363307678626,15.080129650999998,0.030533057,24175.884209311997,7.554963815409999,0.28998956955156935,0.7100104304484307,0.0625,5600,2000
10,10,20,0.1276734299502908,15.580103998,0.030059881,28196.939656133996,7.832483237814999,0.2885857202164579,0.7114142797835421,0.04938271604938271,6000,2200
10,10,20,0.12414748237846848,16.079995884000002,0.030050261,32219.74319064999,8.054935797662498,0.28752872491587783,0.7124712750841222,0.04,6400,2400
10,10,30,110.52433434992602,0.030088507,0.008403198999999972,1.809556250000015,0.009047781250000076,0.8687865295868709,0.13121347041312914,2.0,1401,400
10,10,30,109.20062625598224,0.062933789,0.008361439999999831,7.325965311999978,0.009157456639999973,0.8587307781365011,0.14126922186349888,1.0,2803,800
10,10,30,15.804534897727496,0.09775106199999861,0.028935146000000245,113.89136166599997,0.06327297870333332,0.8436085182776786,0.15639148172232142,0.6666666666666666,4800,1200
10,10,30,0.390120259526516,5.095747917999999,0.030598407,6151.9491525839985,2.5633121469099995,0.36794126463214827,0.6320587353678517,0.375,5200,1400
10,10,30,0.24610528955134123,8.096588995,0.030177025,12189.904595180004,4.063301531726668,0.32421030730700945,0.6757896926929905,0.24,5600,1600
10,10,30,0.1975000984266198,10.096424191999999,0.029746837,18227.839017191996,5.063288615886665,0.3094071810192183,0.6905928189807817,0.16666666666666666,6000,1800
10,10,30,0.17308665595972395,11.496248119,0.030096205,24265.302121137,5.777452885985,0.3019865395077059,0.6980134604922941,0.12244897959183673,6400,2000
10,10,30,0.15839575808063047,12.596086260999998,0.029853052,30303.841833672006,6.313300382015001,0.29755194350818437,0.7024480564918156,0.09375,6800,2200
10,10,30,0.14859280103478742,13.397328938,0.029758077,36340.92609059704,6.72980112788834,0.2945869389782001,0.7054130610217999,0.07407407407407407,7200,2400
10,10,30,0.14157708512987668,14.096634048,0.030463269,42379.739592009966,7.063289932001661,0.2924765752108044,0.7075234247891956,0.06,7600,2600
10,10,40,110.91991297274585,0.029752134,0.008448562999999965,1.8031027490000107,0.009015513745000054,0.8739777507464964,0.12602224925350358,2.0,1401,400
10,10,40,110.21274953926435,0.0542936,0.008309025000000858,7.258688340000013,0.009073360425000017,0.8662654583536746,0.13373454164632537,1.0,2802,800
10,10,40,107.76591672092175,0.080196816,0.008440610000000959,16.70286909600006,0.009279371720000033,0.8587747819601802,0.1412252180398198,0.6666666666666666,4206,1200
10,10,40,14.831928943727362,0.1060445570000006,0.02890961199999964,215.4810754639999,0.06742211372465579,0.8411201777563653,0.15887982224363473,0.4996875,6396,1599
10,10,40,0.4842834917921768,4.079851869999999,0.030309108,8249.300394724989,2.0649062314705855,0.39527715052437634,0.6047228494756236,0.3198,6797,1799
